"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"ERVK-8",1,0.5,0.5,"",619465,"","","Schizophrenias",1,1,"2006-2006"
"FBXO45",1,0.5,0.5,"ENSG00000174013",200933,"P0C2W1","","Schizophrenias",1,1,"2014-2014"
"FGF17",2,0.5,0.5,"ENSG00000158815",8822,"O60258; A0A7U3JVY9","Signaling","Bipolar Disorders; Depression",2,1,"2009-2009"
"FGF20",2,0.5,0.5,"ENSG00000078579",26281,"A0A7U3L649; Q9NP95","Signaling","Depression; Bipolar Disorders",2,1,"2009-2009"
"FOXN1",1,0.5,0.5,"ENSG00000109101",8456,"O15353","","Childhood autism",1,1,"2021-2021"
"FRA7G",1,0.5,0.5,"",2414,"","","Schizophrenias",1,1,"2000-2000"
"FSTL1",1,0.5,0.5,"ENSG00000163430",11167,"Q12841","Enzyme modulator","Schizophrenias",1,1,"2007-2007"
"FXYD1",1,0.5,0.5,"ENSG00000266964",5348,"O00168","Ion channel","Schizophrenias",1,1,"2002-2002"
"FZD4",1,0.5,0.5,"ENSG00000174804",8322,"Q9ULV1","G-protein coupled receptor","Bipolar Disorders",1,1,"2005-2005"
"GABARAP",1,0.5,0.5,"ENSG00000170296",11337,"O95166; Q6IAW1","Cellular structure","Schizophrenias",1,1,"2014-2014"
"GFRA1",1,0.5,0.5,"ENSG00000151892",2674,"B7Z856; P56159","","Schizophrenias",1,1,"2010-2010"
"GFRA3",1,0.5,0.5,"ENSG00000146013",2676,"O60609","","Schizophrenias",1,1,"2010-2010"
"GHR",1,0.5,0.5,"ENSG00000112964",2690,"P10912; A0A087X162; A0A087X0H5","Signaling","Childhood autism",1,1,"2007-2007"
"GNPAT",1,0.5,0.5,"ENSG00000116906",8443,"O15228","","Schizophrenias",1,1,"2006-2006"
"GPR78",2,0.5,0.5,"ENSG00000155269",27201,"Q96P69; B2R7M4","G-protein coupled receptor","Bipolar Disorders; Schizophrenias",2,1,"2006-2006"
"GPS1",1,0.5,0.5,"ENSG00000169727",2873,"A0A096LPJ3; A0A096LP07; C9JFE4; A0A9L9PXT0; Q13098","","Schizophrenias",1,1,"2008-2008"
"GRB10",1,0.5,0.5,"ENSG00000106070",2887,"Q13322","Receptor","Schizophrenias",1,1,"2014-2014"
"GSS",1,0.5,0.5,"ENSG00000100983",2937,"V9HWJ1; P48637","Enzyme","Schizophrenias",0,0,"NA-NA"
"GSTZ1",1,0.5,0.5,"ENSG00000100577",2954,"O43708; A0A0A0MR33; A0A0C4DFM0","","Bipolar Disorders",1,1,"2012-2012"
"GZMB",1,0.5,0.5,"ENSG00000100453",3002,"P10144; J3KQ52; Q6XGZ4; Q67BC3","Enzyme","Childhood autism",1,1,"2009-2009"
"H1-4",1,0.5,0.5,"ENSG00000168298",3008,"A3R0T8; P10412","Nucleic acid binding","Schizophrenias",1,1,"2015-2015"
"H1-5",1,0.5,0.5,"ENSG00000184357",3009,"P16401","Nucleic acid binding","Schizophrenias",1,1,"2014-2014"
"HAGH",1,0.5,0.5,"ENSG00000063854",3029,"Q16775","","Schizophrenias",1,0,"2015-2015"
"HDLBP",1,0.5,0.5,"ENSG00000115677",3069,"B2R5V9; Q00341; A0A024R4E5","","Childhood autism",1,1,"2009-2009"
"HLA-DRB4",1,0.5,0.5,"",3126,"X5D2U9; P13762","Immune response","Bipolar Disorders",1,1,"2002-2002"
"HLA-J",1,0.5,0.5,"ENSG00000290574",3137,"","","Schizophrenias",1,1,"2013-2013"
"HMGA1",1,0.5,0.5,"ENSG00000137309",3159,"A0A994J434; Q5T6U8; P17096","Nucleic acid binding","Schizophrenias",1,1,"2010-2010"
"HMGXB4",1,0.5,0.5,"ENSG00000100281",10042,"Q7Z641; Q9UGU5","","Bipolar Disorders",1,1,"2008-2008"
"HNRNPA3",1,0.5,0.5,"ENSG00000170144",220988,"A0A384NL63; P51991; B4DDB6; A0A7I2V2R3","","Schizophrenias",1,1,"2005-2005"
"HNRNPA3P1",1,0.5,0.5,"",10151,"","","Schizophrenias",1,1,"2005-2005"
"HNRNPUL2",1,0.5,0.5,"ENSG00000214753",221092,"Q1KMD3","","Childhood autism",1,1,"2022-2022"
"HOXD11",1,0.5,0.5,"ENSG00000128713",3237,"P31277","","Childhood autism",1,1,"2010-2010"
"HSPA12A",1,0.5,0.5,"ENSG00000165868",259217,"O43301; A0A1B0GTF3; B7Z2M8; A0A6I8PLB1","","Schizophrenias",1,0,"2004-2004"
"HTR1F",1,0.5,0.5,"ENSG00000179097",3355,"P30939","G-protein coupled receptor","Schizophrenias",1,1,"2004-2004"
"IFNL3",1,0.5,0.5,"ENSG00000197110",282617,"Q8IZI9; A0A7R8C2Z6; A0A0C4DGW8","","Schizophrenias",1,1,"2012-2012"
"IFT27",1,0.5,0.5,"ENSG00000100360",11020,"Q9BW83","","Bipolar Disorders",1,1,"2012-2012"
"IGF2BP2",1,0.5,0.5,"ENSG00000073792",10644,"Q9Y6M1; B4DKT5; B3FTN5; F8W930","Enzyme","Schizophrenias",1,1,"2013-2013"
"IGFBP3",1,0.5,0.5,"ENSG00000146674",3486,"B3KPF0; P17936","Enzyme modulator","Childhood autism",1,1,"2007-2007"
"IL15",1,0.5,0.5,"ENSG00000164136",3600,"P40933","","Childhood autism",1,1,"2008-2008"
"IL17C",1,0.5,0.5,"ENSG00000124391",27189,"Q9P0M4","","Schizophrenias",1,1,"2000-2000"
"IL19",1,0.5,0.5,"ENSG00000142224",29949,"Q9UHD0","","Schizophrenias",1,1,"2014-2014"
"IL2RB",1,0.5,0.5,"ENSG00000100385",3560,"P14784","Receptor","Bipolar Disorders",1,1,"2005-2005"
"IL2RG",1,0.5,0.5,"ENSG00000147168",3561,"P31785","Signaling","Schizophrenias",1,1,"2014-2014"
"INPP1",2,0.5,0.6,"ENSG00000151689",3628,"P49441; Q6IBG4","Enzyme","Bipolar Disorders; Childhood autism",5,1,"1998-2006"
"INPP5A",1,0.5,0.5,"ENSG00000068383",3632,"Q14642","Enzyme","Schizophrenias",1,1,"2011-2011"
"ITGA9",1,0.5,0.5,"ENSG00000144668",3680,"Q13797; Q8N6H6","","Bipolar Disorders",1,1,"2013-2013"
"JAG1",1,0.5,0.5,"ENSG00000101384",182,"Q99740; P78504","","Schizophrenias",1,1,"2010-2010"
"JAG2",1,0.5,0.5,"ENSG00000184916",3714,"Q9Y219","","Schizophrenias",1,1,"2006-2006"
"KAT8",1,0.5,0.5,"ENSG00000103510",84148,"Q9H7Z6","","Schizophrenias",1,1,"2014-2014"
"KCNH6",1,0.5,0.5,"ENSG00000173826",81033,"B4DPJ3; J9JID4; B4DKC0; Q9H252","Ion channel","Schizophrenias",1,1,"2010-2010"
"KCNJ3",1,0.5,0.5,"ENSG00000162989",3760,"D2XBF0; D2X9V0; P48549","Ion channel","Schizophrenias",1,1,"2012-2012"
"KDM2B",1,0.5,0.5,"ENSG00000089094",84678,"Q8NHM5; B4DSN4","Epigenetic regulator","Schizophrenias",1,1,"2011-2011"
"KIF1A",1,0.5,0.5,"ENSG00000130294",547,"A0A3B3IU40; A0A3B3ITE5; Q12756; A0A3B3IT28","Cellular structure","Childhood autism",1,1,"2019-2019"
"KIF2A",1,0.5,0.5,"ENSG00000068796",3796,"B0AZS5; O00139; A0A6Q8PFA6","Cellular structure","Schizophrenias",1,1,"2006-2006"
"KLF5",1,0.5,0.5,"ENSG00000102554",688,"Q5T6X2; Q13887","Nucleic acid binding","Schizophrenias",1,1,"2008-2008"
"KMT5B",1,0.5,0.5,"ENSG00000110066",51111,"A0A8V8TQB9; B7WNX0; C9J6S5; Q4FZB7; B7Z5N2","Epigenetic regulator","Schizophrenias",0,1,"NA-NA"
"KREMEN1",1,0.5,0.5,"ENSG00000183762",83999,"Q96MU8","Receptor","Schizophrenias",1,1,"2010-2010"
"LAMA1",1,0.5,0.5,"ENSG00000101680",284217,"P25391","","Schizophrenias",1,1,"2011-2011"
"LARS2",2,0.5,0.5,"ENSG00000011376",23395,"Q15031","Enzyme","Bipolar Disorders; Schizophrenias",2,1,"2005-2005"
"LBX1",1,0.5,0.5,"ENSG00000138136",10660,"P52954","Transcription factor","Bipolar Disorders",1,1,"2003-2003"
"LHX5",1,0.5,0.5,"ENSG00000089116",64211,"Q9H2C1","Nucleic acid binding","Bipolar Disorders",1,1,"2003-2003"
"LILRB1",1,0.5,0.5,"ENSG00000104972",10859,"A0A087WSX8; A0A087WSV6; Q8NHL6; A0A0B4J1W1; A8MVE2; D9IDM5","Receptor","Schizophrenias",1,1,"2015-2015"
"LTA4H",1,0.5,0.5,"ENSG00000111144",4048,"P09960; A0A140VK27","","Depression",1,1,"2009-2009"
"M6PR",1,0.5,0.5,"ENSG00000003056",4074,"F5GX30; P20645","Receptor","Depression",1,1,"2004-2004"
"MARK2",3,0.5,0.7,"ENSG00000072518",2011,"A8K2S4; Q7KZI7; A0A140VJP1","Kinase","Schizophrenias; Attention Deficit Disorder with Hyperactivity; Childhood autism",3,1,"NA-NA"
"MC5R",1,0.5,0.5,"ENSG00000176136",4161,"P33032","G-protein coupled receptor","Schizophrenias",1,1,"2009-2009"
"MCAT",1,0.5,0.5,"ENSG00000100294",27349,"Q8IVS2","","Schizophrenias",1,1,"2003-2003"
"MCC",1,0.5,0.5,"ENSG00000171444",4163,"P23508","","Childhood autism",1,1,"1994-1994"
"MCTP2",1,0.5,0.5,"ENSG00000140563",55784,"Q6DN12","","Schizophrenias",1,1,"2009-2009"
"ME2",2,0.5,0.5,"ENSG00000082212",4200,"P23368","Enzyme","Bipolar Disorders; Schizophrenias",2,1,"2007-2007"
"MEGF10",1,0.5,0.5,"ENSG00000145794",84466,"Q96KG7","Extracellular structure","Schizophrenias",1,1,"2008-2008"
"MFGE8",1,0.5,0.5,"ENSG00000140545",4240,"B4E396; B3KTQ2; Q08431; H0YKB5; A0A8Q3SIZ9","Enzyme","Bipolar Disorders",1,1,"2006-2006"
"MIR107",1,0.5,0.5,"ENSG00000198997",406901,"","","Schizophrenias",1,1,"2011-2011"
"MIR219A2",1,0.5,0.5,"ENSG00000284185",407003,"","","Schizophrenias",1,1,"2012-2012"
"MIR2682",2,0.5,0.5,"ENSG00000284247",100616452,"","","Schizophrenias; Bipolar Disorders",2,1,"2014-2014"
"MIR328",1,0.5,0.5,"ENSG00000207948",442901,"","","Schizophrenias",1,1,"2011-2011"
"MIR382",1,0.5,0.5,"ENSG00000283170",494331,"","","Schizophrenias",1,1,"2013-2013"
"MIR497",1,0.5,0.5,"ENSG00000284027",574456,"","","Schizophrenias",1,1,"2013-2013"
"MLLT3",1,0.5,0.5,"ENSG00000171843",4300,"A0A0S2Z448; P42568","Nucleic acid binding","Bipolar Disorders",1,1,"2011-2011"
"MMP10",1,0.5,0.5,"ENSG00000166670",4319,"P09238","Enzyme","Bipolar Disorders",1,1,"2014-2014"
"MPPE1",1,0.5,0.5,"ENSG00000154889",65258,"A0A0A0MR93; Q53F39","","Bipolar Disorders",1,1,"2010-2010"
"MPZL1",1,0.5,0.5,"ENSG00000197965",9019,"O95297; A8K5D4","","Schizophrenias",1,1,"2006-2006"
"MSRB1",1,0.5,0.5,"ENSG00000198736",51734,"Q9NZV6","","Schizophrenias",1,1,"2008-2008"
"MSS51",1,0.5,0.5,"ENSG00000166343",118490,"Q4VC12","","Schizophrenias",1,1,"2011-2011"
"MTF1",1,0.5,0.5,"ENSG00000188786",4520,"Q14872","Transcription factor","Childhood autism",1,1,"2004-2004"
"MTHFD1",2,0.5,0.5,"ENSG00000100714",4522,"P11586","Enzyme","Schizophrenias; Bipolar Disorders",2,1,"2007-2007"
"MYO1D",1,0.5,0.5,"ENSG00000176658",4642,"J3KRL0; O94832; Q8N618; J3QRN6","Cellular structure","Childhood autism",1,0,"2007-2007"
"MYO5B",1,0.5,0.5,"ENSG00000167306",4645,"Q7Z7A5; Q9ULV0","Cellular structure","Schizophrenias",1,1,"2013-2013"
"NAV1",1,0.5,0.5,"ENSG00000134369",89796,"Q8NEY1","","Schizophrenias",1,0,"2011-2011"
"NAV3",1,0.5,0.5,"ENSG00000067798",89795,"A0A2R8YFX5; Q8IVL0","","Childhood autism",1,1,"2022-2022"
"NCOR1",1,0.5,0.5,"ENSG00000141027",9611,"H0Y459; A0A994J5B8; Q6PGR4; O75376","Transcription factor","Childhood autism",1,1,"2021-2021"
"NDP",1,0.5,0.5,"ENSG00000124479",4693,"Q00604","","Schizophrenias",1,1,"2012-2012"
"NDUFV3",1,0.5,0.5,"ENSG00000160194",4731,"P56181","","Bipolar Disorders",1,1,"2000-2000"
"NEFM",2,0.5,0.5,"ENSG00000104722",4741,"P07197; Q9UK51","","Bipolar Disorders; Depression",2,1,"2009-2009"
"NOD2",1,0.5,0.5,"ENSG00000167207",64127,"A0A286YF65; Q9HC29","Enzyme","Bipolar Disorders",1,1,"2014-2014"
"NPY1R",3,0.5,0.55,"ENSG00000164128",4886,"P25929","G-protein coupled receptor","Anxiety Disorder; Schizophrenias; Depression",3,1,"1998-2004"
"NRIP1",1,0.5,0.5,"ENSG00000180530",8204,"A8K171; P48552","","Schizophrenias",1,1,"2011-2011"
"NUMBL",1,0.5,0.5,"ENSG00000105245",9253,"Q9Y6R0; B7Z5W0; A0A0C4DGH3; A8K033","Signaling","Schizophrenias",1,1,"2006-2006"
"OAS2",1,0.5,0.5,"ENSG00000111335",4939,"P29728; Q7Z6D0","Enzyme","Depression",1,1,"2012-2012"
"OR7D4",1,0.5,0.5,"ENSG00000174667",125958,"Q8NG98; A0A126GVR1","G-protein coupled receptor","Depression",1,1,"2011-2011"
"OTX2",1,0.5,0.5,"ENSG00000165588",5015,"F1T0C9; P32243; F1T0D0; F1T0D1","Transcription factor","Bipolar Disorders",1,1,"2007-2007"
"OXSR1",1,0.5,0.5,"ENSG00000172939",9943,"O95747","Kinase","Schizophrenias",1,1,"2011-2011"
"PAG1",1,0.5,0.5,"ENSG00000076641",55824,"Q9NWQ8","","Schizophrenias",1,0.5,"2011-2011"
"PANK2",1,0.5,0.5,"ENSG00000125779",80025,"Q9BZ23; Q6P1K9","Kinase","Schizophrenias",1,1,"2012-2012"
"PCDH8",1,0.5,0.5,"ENSG00000136099",5100,"O95206","","Schizophrenias",1,1,"2002-2002"
"PCK1",1,0.5,0.5,"ENSG00000124253",5105,"P35558","Kinase","Schizophrenias",1,1,"2008-2008"
"PDE9A",1,0.5,0.5,"ENSG00000160191",5152,"O76083; A0A0S2Z4T6; A0A0S2Z475; A0A0S2Z4A3","","Bipolar Disorders",1,1,"2000-2000"
"PDSS1",1,0.5,0.5,"ENSG00000148459",23590,"Q5T2R2","","Schizophrenias",0,1,"NA-NA"
"PER1",1,0.5,0.5,"ENSG00000179094",5187,"O15534","Transcription factor","Childhood autism",1,1,"2007-2007"
"PFKFB3",2,0.5,0.5,"ENSG00000170525",5209,"B7Z8A0; Q16875","Kinase","Depression; Bipolar Disorders",2,1,"2013-2013"
"PGAM1",1,0.5,0.5,"ENSG00000171314",5223,"B7Z9E5; Q6FHU2; P18669","","Bipolar Disorders",1,0,"2013-2013"
"PKNOX2",1,0.5,0.5,"ENSG00000165495",63876,"","Enzyme","Schizophrenias",1,1,"2012-2012"
"PLA2G4B",1,0.5,0.5,"ENSG00000243708",100137049,"P0C869","","Schizophrenias",1,1,"2005-2005"
"PLCXD3",1,0.5,0.5,"ENSG00000182836",345557,"B3KXD1; Q63HM9","","Bipolar Disorders",1,1,"2014-2014"
"PLEKHA6",1,0.5,0.5,"ENSG00000143850",22874,"Q9Y2H5","","Schizophrenias",1,1,"2014-2014"
"PLSCR4",1,0.5,0.5,"ENSG00000114698",57088,"E9PHR9; Q9NRQ2","Transporter","Schizophrenias",1,1,"2007-2007"
"PML",1,0.5,0.5,"ENSG00000140464",5371,"P29590","","Schizophrenias",1,1,"2011-2011"
"PMP2",1,0.5,0.5,"ENSG00000147588",5375,"E5RH45; P02689","","Schizophrenias",1,1,"2006-2006"
"PNPO",1,0.5,0.5,"ENSG00000108439",55163,"Q9NVS9; V9HW45","Enzyme","Schizophrenias",1,1,"2007-2007"
"PPIA",1,0.5,0.5,"ENSG00000196262",5478,"P62937; V9HWF5","","Schizophrenias",1,0,"2010-2010"
"PRDX6",1,0.5,0.5,"ENSG00000117592",9588,"V9HWC7; P30041","Enzyme","Schizophrenias",1,1,"2009-2009"
"PSAT1",1,0.5,0.5,"ENSG00000135069",29968,"Q9Y617","","Schizophrenias",1,1,"2011-2011"
"PTGER3",1,0.5,0.5,"ENSG00000050628",5733,"P43115; O00325","G-protein coupled receptor","Schizophrenias",1,1,"2012-2012"
"PTPA",1,0.5,0.5,"ENSG00000119383",5524,"Q15257; F6WIT2","Enzyme modulator","Bipolar Disorders",1,1,"2007-2007"
"PTPN21",1,0.5,0.5,"ENSG00000070778",11099,"Q16825","","Schizophrenias",1,1,"2011-2011"
"PTPN6",1,0.5,0.5,"ENSG00000111679",5777,"Q53XS4; P29350","","Schizophrenias",1,1,"2014-2014"
"PTPRT",2,0.5,0.6,"ENSG00000196090",11122,"O14522; A0A075B6H0","Enzyme","Schizophrenias; Childhood autism",5,1,"2011-2021"
"R3HDML",1,0.5,0.5,"ENSG00000101074",140902,"Q9H3Y0","Immune response","Schizophrenias",1,1,"2011-2011"
"RAPGEF5",1,0.5,0.5,"ENSG00000136237",9771,"Q92565; Q5JPD2; A8MQ07","Enzyme modulator","Bipolar Disorders",1,0,"2010-2010"
"RASGRF1",1,0.5,0.5,"ENSG00000058335",5923,"A8K270; Q13972; Q8IUU5","Enzyme modulator","Bipolar Disorders",1,1,"2010-2010"
"RBP1",1,0.5,0.5,"ENSG00000114115",5947,"P09455; A0A0A0MQT0","","Schizophrenias",1,1,"2009-2009"
"RCBTB1",1,0.5,0.5,"ENSG00000136144",55213,"B3KR20; Q8NDN9","Enzyme modulator","Schizophrenias",1,1,"2013-2013"
"REEP3",1,0.5,0.5,"ENSG00000165476",221035,"X5DR89; Q6NUK4; X5DP57","Transporter","Childhood autism",1,1,"2007-2007"
"RGS12",1,0.5,0.5,"ENSG00000159788",6002,"O14924","","Schizophrenias",1,1,"2011-2011"
"RIMS2",1,0.5,0.5,"ENSG00000176406",9699,"A0A8Q3SJ53; F8W6W8; A0A994J503; A0A994J5M6; A0A994J7W6; Q9UQ26; A0A8Q3SIU4","Enzyme modulator","Schizophrenias",1,0,"2009-2009"
"RIMS3",1,0.5,0.5,"ENSG00000117016",9783,"Q9UJD0","Enzyme modulator","Schizophrenias",1,0,"2009-2009"
"RNF123",1,0.5,0.5,"ENSG00000164068",63891,"Q5XPI4","","Depression",1,1,"2012-2012"
"ROBO3",1,0.5,0.5,"ENSG00000154134",64221,"Q96MS0","Receptor","Childhood autism",1,1,"2008-2008"
"ROBO4",1,0.5,0.5,"ENSG00000154133",54538,"B4DYV8; Q8WZ75","Receptor","Childhood autism",1,1,"2008-2008"
"ROR1",1,0.5,0.5,"ENSG00000185483",4919,"Q01973","Kinase","Bipolar Disorders",1,1,"2011-2011"
"RPE65",1,0.5,0.5,"ENSG00000116745",6121,"Q16518","Enzyme","Childhood autism",2,1,"2020-2021"
"S100A9",1,0.5,0.5,"ENSG00000163220",6280,"P06702","Calcium-binding protein","Schizophrenias",1,1,"2005-2005"
"S1PR1",1,0.5,0.5,"ENSG00000170989",1901,"P21453","G-protein coupled receptor","Bipolar Disorders",1,1,"2014-2014"
"SAP30BP",1,0.5,0.5,"ENSG00000161526",29115,"Q9UHR5","Transcription factor","Schizophrenias",1,0.5,"2011-2011"
"SBNO2",1,0.5,0.5,"ENSG00000064932",22904,"Q9Y2G9","Enzyme","Schizophrenias",1,1,"2011-2011"
"SCAF1",1,0.5,0.5,"ENSG00000126461",58506,"Q9H7N4","","Childhood autism",1,1,"2022-2022"
"SCFD2",1,0.5,0.5,"ENSG00000184178",152579,"Q8WU76","Transporter","Childhood autism",0,1,"NA-NA"
"SDHA",1,0.5,0.5,"ENSG00000073578",6389,"P31040; D6RFM5","Enzyme","Schizophrenias",1,0,"2010-2010"
"SEMA3D",1,0.5,0.5,"ENSG00000153993",223117,"O95025","Signaling","Schizophrenias",1,1,"2011-2011"
"SEPTIN11",2,0.5,0.5,"ENSG00000138758",55752,"Q9NVA2; A0A384P5S0","Enzyme modulator","Schizophrenias; Bipolar Disorders",2,1,"2011-2011"
"SEZ6L",1,0.5,0.5,"ENSG00000100095",23544,"B7ZLJ8; Q9BYH1","","Bipolar Disorders",1,1,"2013-2013"
"SEZ6L2",1,0.5,0.5,"ENSG00000174938",26470,"A0A0A8K8P7; A0A087WYL5; Q6UXD5; B7Z5L4","","Childhood autism",1,1,"2009-2009"
"SFRP1",2,0.5,0.5,"ENSG00000104332",6422,"Q8N474","","Depression; Bipolar Disorders",2,1,"2009-2009"
"SLC29A3",1,0.5,0.5,"ENSG00000198246",55315,"Q9BZD2","Transporter","Depression",1,1,"2010-2010"
"SLC38A2",1,0.5,0.5,"ENSG00000134294",54407,"Q8NHT5; Q96QD8","Transporter","Schizophrenias",1,1,"2008-2008"
"SLC40A1",1,0.5,0.5,"ENSG00000138449",30061,"Q9NP59","Transporter","Childhood autism",1,1,"2004-2004"
"SLC6A11",1,0.5,0.5,"ENSG00000132164",6538,"P48066","Transporter","Schizophrenias",1,1,"2011-2011"
"SLCO1C1",1,0.5,0.5,"ENSG00000139155",53919,"Q9NYB5","Transporter","Depression",1,0,"2008-2008"
"SMS",1,0.5,0.5,"ENSG00000102172",6611,"P52788","","Bipolar Disorders",1,1,"2008-2008"
"SNCB",1,0.5,0.5,"ENSG00000074317",6620,"Q16143; G4Y815; G4Y816","Transporter","Schizophrenias",1,1,"2010-2010"
"SNORD103C",1,0.5,0.5,"",692200,"","","Schizophrenias",1,1,"2014-2014"
"SNTG2",1,0.5,0.5,"ENSG00000172554",54221,"Q9NY99","","Childhood autism",1,1,"2007-2007"
"SNX31",1,0.5,0.5,"ENSG00000174226",169166,"Q8N9S9","","Schizophrenias",1,1,"2014-2014"
"SP8",1,0.5,0.5,"ENSG00000164651",221833,"A8K350; Q8IXZ3","Nucleic acid binding","Bipolar Disorders",1,1,"2013-2013"
"SPR",1,0.5,0.5,"ENSG00000116096",6697,"P35270","","Bipolar Disorders",1,1,"2009-2009"
"SPTBN2",1,0.5,0.5,"ENSG00000173898",6712,"O15020","","Schizophrenias",1,1,"2008-2008"
"SRD5A2",1,0.5,0.5,"ENSG00000277893",6716,"P31213","Enzyme","Schizophrenias",1,1,"2010-2010"
"SRRT",1,0.5,0.5,"ENSG00000087087",51593,"Q9BXP5","","Bipolar Disorders",1,1,"2011-2011"
"SRSF1",1,0.5,0.5,"ENSG00000136450",6426,"Q07955; Q59FA2","Nucleic acid binding","Schizophrenias",1,1,"2005-2005"
"SRSF10",1,0.5,0.5,"ENSG00000188529",10772,"Q5JRI1; O75494; B3KNY6; A0A0S2Z504","Nucleic acid binding","Schizophrenias",1,1,"2015-2015"
"ST3GAL1",2,0.5,0.5,"ENSG00000008513",6482,"Q11201","","Schizophrenias; Bipolar Disorders",2,1,"2008-2008"
"STAB1",1,0.5,0.5,"ENSG00000010327",23166,"Q9NY15","","Bipolar Disorders",1,1,"2014-2014"
"STXBP6",1,0.5,0.5,"ENSG00000168952",29091,"Q8NFX7","Transporter","Childhood autism",1,1,"2010-2010"
"TAPBP",1,0.5,0.5,"ENSG00000231925",6892,"O15533; A0A0A0MT98; A0A024RCT1; A0A0A0MSV9","Receptor","Schizophrenias",1,1,"2009-2009"
"TBX19",1,0.5,0.5,"ENSG00000143178",9095,"B3KRD9; O60806","Transcription factor","Depression",1,1,"2007-2007"
"THBS1",1,0.5,0.5,"ENSG00000137801",7057,"P07996","","Schizophrenias",1,1,"2011-2011"
"TLE1",1,0.5,0.5,"ENSG00000196781",7088,"Q04724; Q59EF7; B4DEF9","Transcription factor","Depression",1,1,"2007-2007"
"TLL2",1,0.5,0.5,"ENSG00000095587",7093,"Q9Y6L7","","Bipolar Disorders",1,1,"2013-2013"
"TMSB10",2,0.5,0.5,"ENSG00000034510",9168,"P63313","","Bipolar Disorders; Schizophrenias",2,1,"2012-2012"
"TNFSF13",1,0.5,0.5,"ENSG00000161955",8741,"O75888; Q2QBA2; B3KR02","","Schizophrenias",1,1,"2012-2012"
"TOM1",1,0.5,0.5,"ENSG00000100284",10043,"O60784; B3KUF5","","Bipolar Disorders",1,1,"2008-2008"
"TPO",1,0.5,0.5,"ENSG00000115705",7173,"Q502Y3; Q6P534; P07202","Enzyme","Bipolar Disorders",1,1,"2007-2007"
"TRMT2A",1,0.5,0.5,"ENSG00000099899",27037,"F2Z2W7; Q8IZ69","","Schizophrenias",1,1,"2007-2007"
"TRPC4",1,0.5,0.5,"ENSG00000133107",7223,"Q9UBN4","Ion channel","Childhood autism",0,1,"NA-NA"
"TRPM1",1,0.5,0.5,"ENSG00000134160",4308,"Q7Z4N2","Ion channel","Schizophrenias",1,1,"2012-2012"
"TUBA8",1,0.5,0.5,"ENSG00000183785",51807,"Q9NY65","Cellular structure","Bipolar Disorders",1,1,"2005-2005"
"UBE2H",1,0.5,0.5,"ENSG00000186591",7328,"A4D1L5; P62256; A0A3B3IU20","","Childhood autism",1,1,"2003-2003"
"UNC5C",1,0.5,0.5,"ENSG00000182168",8633,"A8K385; O95185","Receptor","Schizophrenias",1,1,"2014-2014"
"UPB1",1,0.5,0.5,"ENSG00000100024",51733,"Q9UBR1; B3KNC1","Enzyme","Childhood autism",1,1,"2009-2009"
"USP46",1,0.5,0.5,"ENSG00000109189",64854,"P62068","Enzyme","Bipolar Disorders",1,0,"2010-2010"
"VAPA",1,0.5,0.5,"ENSG00000101558",9218,"Q9P0L0","Transporter","Bipolar Disorders",1,1,"2008-2008"
"VPS39",1,0.5,0.5,"ENSG00000166887",23339,"Q96JC1","","Schizophrenias",1,1,"2012-2012"
"WDR11",1,0.5,0.5,"ENSG00000120008",55717,"Q9BZH6","","Schizophrenias",1,1,"2011-2011"
"WHRN",1,0.5,0.5,"ENSG00000095397",25861,"B9EGE6; Q9P202","Cellular structure","Bipolar Disorders",1,1,"2011-2011"
"YWHAH",1,0.5,0.5,"ENSG00000128245",7533,"Q04917; Q9H4N8","Chaperone","Bipolar Disorders",1,1,"2009-2009"
"YWHAZP5",1,0.5,0.5,"",86123,"","","Schizophrenias",1,1,"2015-2015"
"ZNF292",1,0.5,0.5,"ENSG00000188994",23036,"O60281","Enzyme","Childhood autism",1,1,"2021-2021"
"CSMD2",4,0.4875,0.6,"ENSG00000121904",114784,"Q7Z408","","Schizophrenias; Depression; Attention Deficit Disorder with Hyperactivity; Childhood autism",4,1,"2011-2021"
"NEDD4",2,0.475,0.55,"ENSG00000069869",4734,"P46934","Enzyme","Bipolar Disorders; Childhood autism",2,1,"2001-2021"
"SCAPER",2,0.475,0.55,"ENSG00000140386",49855,"Q9BY12","","Attention Deficit Disorder with Hyperactivity; Schizophrenias",1,1,"NA-NA"
"GABRR2",2,0.475,0.5,"ENSG00000111886",2570,"P28476; B4DER2","Ion channel","Bipolar Disorders; Childhood autism",1,1,"NA-NA"
"MINK1",2,0.475,0.5,"ENSG00000141503",50488,"Q8N4C8","Kinase","Childhood autism; Attention Deficit Disorder with Hyperactivity",1,1,"NA-NA"
"RIMS1",2,0.475,0.5,"ENSG00000079841",22999,"Q3ZCW0; B7Z7W2; B7Z9Z3; Q86UR5","Enzyme modulator","Childhood autism; Bipolar Disorders",2,1,"2015-2019"
"TCF20",2,0.475,0.5,"ENSG00000100207",6942,"W5ZR30; Q9UGU0","Transcription factor","Childhood autism; Attention Deficit Disorder with Hyperactivity",1,1,"NA-NA"
